,Non-ship,Aircraft carrier,Submarine,Medical ship,Combat boat,Auxiliary ship,Container ship,Car carrier,Hovercraft,Bulk carrier,Oil tanker,Fishing boat,Destroyer,Passenger ship,Liquefied gas ship,Barge,Landing craft,Frigate,Amphibious transport dock,Cruiser,Tarawa-class amphibious assault ship,Amphibious assault ship,Command ship
Non-ship,31,0,0,0,0,3,0,0,1,0,5,1,0,1,0,7,0,0,0,0,0,0,0
Aircraft carrier,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Submarine,1,0,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Medical ship,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Combat boat,0,0,0,0,5,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Auxiliary ship,1,1,0,0,0,13,0,0,0,0,3,1,0,2,1,0,0,0,0,1,0,0,0
Container ship,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0
Car carrier,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Hovercraft,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Bulk carrier,4,0,0,1,0,2,0,0,0,10,11,0,0,0,1,3,0,0,1,1,0,0,0
Oil tanker,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0
Fishing boat,3,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
Destroyer,0,0,0,0,0,5,0,0,0,0,1,0,35,0,0,0,0,0,3,7,0,1,3
Passenger ship,0,0,0,0,0,3,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0
Liquefied gas ship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Barge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Landing craft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0
Frigate,0,0,0,0,1,3,0,0,0,0,1,0,4,0,0,1,0,17,0,3,0,0,0
Amphibious transport dock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1
Cruiser,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,1,1
Tarawa-class amphibious assault ship,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,1
Amphibious assault ship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0
Command ship,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7
